wroteMusicFor	0
worksAt	1
isMarriedTo	2
isOwnedBy	3
hasGender	4
playsFor	5
directed	6
isTheCountryOfCitizenshipOf	7
actedIn	8
dealsWith	9
featured	10
wasBornIn	11
isCitizenOf	12
contains	13
isPoliticianOf	14
livesIn	15
graduatedFrom	16
hasMusicalRole	17
diedIn	18
hasWebsite	19
wasParticipatedInBy	20
hasCapital	21
isThePlaceWhereDied	22
isPlayedForBy	23
participatedIn	24
isLeaderOf	25
owns	26
hasChild	27
hasOfficialLanguage	28
hasAcademicAdvisor	29
influences	30
isInfluencedBy	31
imports	32
isInterestedIn	33
isAnAcademicAdvisorOf	34
hadMusicWrittenBy	35
isKnownFor	36
exports	37
created	38
isConnectedTo	39
hasNeighbor	40
wasTheLocationOf	41
edited	42
isLivedInBy	43
isAffiliatedTo	44
isAMusicalRoleHeldBy	45
isLocatedIn	46
happenedIn	47
isTheGenderOf	48
hasWonPrize	49
hasCurrency	50
